BRAND  ,PRODUCT  ,PRODUCT TYPE  ,WEIGHT  ,EXT1  ,EXT2  ,  ITEM CODE,ITEM NAME  ,PRODUCT TYPECODE  ,MFR. NAME  ,ALIAS NAME  ,ITEM SHORT NAME  ,UPC/EAN CODE  ,  SELLING,  MRP,  PUR.PRICE,  LANDING COST,  DECIMALS REQUIRED,  ITEM DISCOUNT %,INCLUSIVE TAX  ,  SALES TAX%,  PURCHASE TAX%,  COST WITHOUT TAX,MAIN DISTRIBUTOR NAME  ,ACTIVITY STATUS  ,  SPL RATE,IS WEIGHTABLE  ,  GST CODE,GST%  ,HSN CODE  ,PURCHASE GST CALC ON  ,  PURCHASE ABATEMENT %,SALES GST CALC ON  ,  SALES ABATEMENT %,DIST GST NO  ,APPLY SELLING RATE FROM MASTER  ,GIFT VOUCHER TYPE  ,INDENT/REORDER GENERATIONTYPE  ,INDENT/REORDER FORMULA  ,CONVERSION ALLOWED  ,  MINIMUM SHELF LIFE,RETURN PERIOD DAYS  ,IS CANCELLABLE?  ,VAT UOM  ,COMMODITY DESCRIPTION  ,  COMMODITY CODE,SALETAX EXEMPT APPLICABLE  
ASHAPURA  ,KUMKUM  ,POOJA SAMGRI  ,0  ,0  ,0  ,  3942,28 ASHTAGANDHA KESAR 50G  ,1  ,NA  ,  ,28 ASHTAGANDHA KESAR 50G  ,  ,30.0,45.0,  16.15,  16.21,0.0,0.0,YES  ,0.,0.0,  16.21,AARTI TRADING  ,REGULAR  ,0.0,No  ,  5002,GST Exempted Tax  ,33074100  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,24AERPT9795C1ZP  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
ASHAPURA  ,KUMKUM  ,POOJA SAMGRI  ,0  ,0  ,0  ,  3145,28 KESAR CHANDAN 50G  ,1  ,NA  ,  ,28 KESAR CHANDAN 50G  ,  ,30.0,55.0,  16.19,  17.06,0.0,0.0,YES  ,0.,0.0,  17.06,AARTI TRADING  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,33074100  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,24AERPT9795C1ZP  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
ASHAPURA  ,KUMKUM  ,POOJA SAMGRI  ,0  ,0  ,0  ,  4374,28 LAL CHANDAN 25G  ,1  ,NA  ,  ,28 LAL CHANDAN 25G  ,  ,25.0,30.0,  15.38,  16.15,0.0,0.0,YES  ,0.,0.0,  16.15,AARTI TRADING  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,33074100  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,24AERPT9795C1ZP  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
ASHAPURA  ,KUMKUM  ,POOJA SAMGRI  ,0  ,0  ,0  ,  979,28 ROLI KUMKUM 50G  ,1  ,NA  ,  ,CYCLE THREE IN ONE 50G  ,1614  ,40.0,55.0,  16.15,  16.15,0.0,0.0,YES  ,0.,0.0,  16.15,NA  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,33074100  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
EMAMI  ,HAIR OIL  ,COSMETICS  ,0  ,0  ,0  ,  5984,7 OILS IN ONE HAIR OIL 650ML  ,1  ,NA  ,  ,7 OILS IN ONE HAIR OIL 650ML  ,8901248257619  ,299.0,444.0,  384.42,  201.82,0.0,0.0,YES  ,0.,0.0,  201.82,VASUDEV SALES AGENCY  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,33059011  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,24AAUPY1975A1ZB  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
EMAMI  ,HAIR OIL  ,COSMETICS  ,0  ,0  ,0  ,  2039,7 OILS IN ONE HAIROIL 100ML  ,1  ,NA  ,  ,7 OILS IN ONE HAIROIL 100ML  ,8901248257329  ,65.0,67.0, 58.10,  59.17,0.0,0.0,YES  ,0.,0.0,  59.17,VASUDEV SALES AGENCY  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,33059011  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,24AAUPY1975A1ZB  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
EMAMI  ,HAIR OIL  ,COSMETICS  ,0  ,0  ,0  ,  2038,7 OILS IN ONE HAIROIL 200ML  ,1  ,NA  ,  ,7 OILS IN ONE HAIROIL 200ML  ,8901248257374  ,100.0,109.0,  94.38,  96.13,0.0,0.0,YES  ,0.,0.0,  96.13,VASUDEV SALES AGENCY  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,33059011  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,24AAUPY1975A1ZB  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
EMAMI  ,HAIR OIL  ,COSMETICS  ,0  ,0  ,0  ,  2037,7 OILS IN ONE HAIROIL 300ML  ,1  ,NA  ,  ,7 OILS IN ONE HAIROIL 300ML  ,8901248257411  ,175.0,180.0,124.0,160.0,0.0,0.0,YES  ,0.,0.0,160.0,VASUDEV SALES AGENCY  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,33059011  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,24AAUPY1975A1ZB  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
EMAMI  ,HAIR OIL  ,COSMETICS  ,0  ,0  ,0  ,  2036,7 OILS IN ONE HAIROIL 50  ,1  ,NA  ,  ,7 OILS IN ONE HAIROIL 50  ,8901248257312  ,33.0,34.0,  29.44,  29.68,0.0,0.0,YES  ,0.,0.0,  29.68,VASUDEV SALES AGENCY  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,33059011  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,24AAUPY1975A1ZB  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
EMAMI  ,HAIR OIL  ,COSMETICS  ,0  ,0  ,0  ,  2040,7 OILS IN ONE HAIROIL 500ML  ,1  ,NA  ,  ,7 OILS IN ONE HAIROIL 500ML  ,8901248257459  ,220.0,250.0,  216.45,  181.82,0.0,0.0,YES  ,0.,0.0,  181.82,VASUDEV SALES AGENCY  ,REGULAR  ,0.0,No  ,  5003,GST 5%  ,33059011  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,24AAUPY1975A1ZB  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
ASHAPURA  ,COPRA COCONUT  ,GROCERY  ,0  ,0  ,0  ,  4336,AALU PAPDI BULK  ,1  ,NA  ,  ,AALU PAPDI BULK  ,  ,200.0,350.0,120.0,120.0,3.0,0.0,YES  ,0.,0.0,120.0,MAHESHWARI SALES AGENCY  ,REGULAR  ,0.0,Yes  ,  5001,GST 0% Tax  ,  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,24ADWPP2613F1ZH  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
ASHAPURA  ,MIX MASALA  ,MASALA  ,50G  ,0  ,0  ,  2488,AAMCHUR AKHA  100G  ,1  ,NA  ,  ,AAMCHUR AKHA  100G  ,  ,50.0,80.0, 3.70, 3.70,0.0,0.0,YES  ,0.,0.0, 3.70,NA  ,REGULAR  ,0.0,No  ,  5001,GST 0% Tax  ,  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  6,30  ,YES  ,  ,  ,  0,0  
ASHAPURA  ,MIX MASALA  ,MASALA  ,100G  ,0  ,0  ,  1982,AAMCHUR POWDER 100G  ,1  ,NA  ,  ,AAMCHUR POWDER 100G  ,  ,20.0,35.0, 7.40, 7.40,0.0,0.0,YES  ,0.,0.0, 7.40,NA  ,REGULAR  ,0.0,No  ,  5001,GST 0% Tax  ,  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  6,30  ,YES  ,  ,  ,  0,0  
ASHAPURA  ,KHADA MASALA  ,MASALA  ,0  ,0  ,0  ,  2487,AAMCHUR POWDER NIDHI 1K BULK  ,1  ,NA  ,  ,AAMCHUR POWDER BULK  ,  ,120.0,350.0,74.0,74.0,3.0,0.0,YES  ,0.,0.0,74.0,NA  ,REGULAR  ,0.0,Yes  ,  5003,GST 5%  ,09101110  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  0,30  ,YES  ,  ,  ,  0,0  
ASHAPURA  ,ATTA  ,FLOUR  ,100G  ,0  ,0  ,  2616,AARA LOT 100G  ,1  ,NA  ,  ,AARA LOT 100G  ,  ,10.0,15.0,  3.24,  3.24,0.0,0.0,YES  ,0.,0.0,  3.24,NA  ,REGULAR  ,0.0,No  ,  5001,GST 0% Tax  ,  ,PURCHASE RATE  ,0.0,SELLING RATE  ,0.0,0  ,NO  ,NONE  ,MANUAL  ,None  ,NO  ,  6,30  ,YES  ,  ,  ,  0,0  
